time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-03-02T06:00:00.0000000Z,2018-03-02T09:00:00.0000000Z,2018-03-02T06:00:01.0000000Z,2018-03-02T08:59:57.0000000Z,10991.41,11158.8,10983.5,11099.0,2550.911829552,13667
2018-03-02T09:00:00.0000000Z,2018-03-02T12:00:00.0000000Z,2018-03-02T09:00:01.0000000Z,2018-03-02T11:59:56.0000000Z,11099.99,11124.3,10815.0,10913.99,3419.183870332,16543
2018-03-02T12:00:00.0000000Z,2018-03-02T15:00:00.0000000Z,2018-03-02T12:00:00.0000000Z,2018-03-02T14:59:58.0640000Z,10913.93,11050.0,10765.0,10785.01,4492.506522513,18568
2018-03-02T15:00:00.0000000Z,2018-03-02T18:00:00.0000000Z,2018-03-02T15:00:00.0000000Z,2018-03-02T17:59:59.0290000Z,10788.99,10913.99,10778.8,10880.0,3042.59598234,15522
2018-03-02T18:00:00.0000000Z,2018-03-02T21:00:00.0000000Z,2018-03-02T18:00:00.0000000Z,2018-03-02T20:59:58.5770000Z,10913.99,11100.0,10836.44,11038.87,4032.223376729,17188
2018-03-02T21:00:00.0000000Z,2018-03-03T00:00:00.0000000Z,2018-03-02T21:00:00.1970000Z,2018-03-02T23:59:58.0000000Z,11047.28,11128.0,10937.98,11029.99,3701.024488079,16202
2018-03-03T00:00:00.0000000Z,2018-03-03T03:00:00.0000000Z,2018-03-03T00:00:00.9240000Z,2018-03-03T02:59:59.0000000Z,11000.01,11380.0,11000.0,11308.79,6015.271859027,24297
2018-03-03T03:00:00.0000000Z,2018-03-03T06:00:00.0000000Z,2018-03-03T03:00:00.0000000Z,2018-03-03T05:59:56.2990000Z,11308.79,11400.0,11212.02,11350.0,3685.529291657,17159
2018-03-03T06:00:00.0000000Z,2018-03-03T09:00:00.0000000Z,2018-03-03T06:00:01.0000000Z,2018-03-03T08:59:56.5670000Z,11319.09,11419.8,11229.49,11323.01,2647.402865333,12867
2018-03-03T09:00:00.0000000Z,2018-03-03T12:00:00.0000000Z,2018-03-03T09:00:08.3440000Z,2018-03-03T11:59:59.0000000Z,11323.01,11372.9,11250.01,11278.71,1455.819721798,7614
2018-03-03T12:00:00.0000000Z,2018-03-03T15:00:00.0000000Z,2018-03-03T12:00:02.0000000Z,2018-03-03T14:59:59.9960000Z,11278.71,11500.0,11275.0,11434.8,3985.236245453,16707
2018-03-03T15:00:00.0000000Z,2018-03-03T18:00:00.0000000Z,2018-03-03T15:00:00.5210000Z,2018-03-03T17:59:52.9500000Z,11434.8,11528.9,11380.0,11488.89,2941.544823522,15019
2018-03-03T18:00:00.0000000Z,2018-03-03T21:00:00.0000000Z,2018-03-03T18:00:00.0000000Z,2018-03-03T20:59:58.7410000Z,11494.01,11511.0,11214.09,11299.32,4178.529763664,18614
2018-03-03T21:00:00.0000000Z,2018-03-04T00:00:00.0000000Z,2018-03-03T21:00:00.1720000Z,2018-03-03T23:59:58.3100000Z,11299.32,11472.99,11248.44,11432.5,2862.398184721,14589
2018-03-04T00:00:00.0000000Z,2018-03-04T03:00:00.0000000Z,2018-03-04T00:00:00.0000000Z,2018-03-04T02:59:58.9750000Z,11445.0,11450.0,11261.02,11325.0,2204.085649668,12054
2018-03-04T03:00:00.0000000Z,2018-03-04T06:00:00.0000000Z,2018-03-04T03:00:01.0660000Z,2018-03-04T05:59:56.0000000Z,11325.1,11325.1,11093.2,11201.65,3609.888458574,17371
2018-03-04T06:00:00.0000000Z,2018-03-04T09:00:00.0000000Z,2018-03-04T06:00:05.0000000Z,2018-03-04T08:59:57.0000000Z,11201.65,11239.7,11041.0,11198.48,2430.851850514,10867
2018-03-04T09:00:00.0000000Z,2018-03-04T12:00:00.0000000Z,2018-03-04T09:00:04.6960000Z,2018-03-04T11:59:49.5780000Z,11215.0,11265.1,11062.7,11134.13,1437.795191697,8041
2018-03-04T12:00:00.0000000Z,2018-03-04T15:00:00.0000000Z,2018-03-04T12:00:01.1500000Z,2018-03-04T14:59:57.1120000Z,11134.13,11250.3,11090.01,11124.99,1372.844287295,8051
2018-03-04T15:00:00.0000000Z,2018-03-04T18:00:00.0000000Z,2018-03-04T15:00:00.0000000Z,2018-03-04T17:59:54.8700000Z,11108.05,11187.9,11068.96,11121.01,1539.677118578,8662
2018-03-04T18:00:00.0000000Z,2018-03-04T21:00:00.0000000Z,2018-03-04T18:00:02.7910000Z,2018-03-04T20:59:59.0000000Z,11121.01,11475.0,11097.5,11442.99,4457.902642152,18942
2018-03-04T21:00:00.0000000Z,2018-03-05T00:00:00.0000000Z,2018-03-04T21:00:00.0000000Z,2018-03-04T23:59:56.5180000Z,11442.99,11539.0,11247.62,11469.9,4399.889440805,17556
2018-03-05T00:00:00.0000000Z,2018-03-05T03:00:00.0000000Z,2018-03-05T00:00:01.0000000Z,2018-03-05T02:59:56.9870000Z,11479.68,11539.0,11383.66,11497.01,3031.469769411,11425
2018-03-05T03:00:00.0000000Z,2018-03-05T06:00:00.0000000Z,2018-03-05T03:00:03.0180000Z,2018-03-05T05:59:59.7220000Z,11497.01,11624.6,11446.75,11506.0,4313.891598732,16896
2018-03-05T06:00:00.0000000Z,2018-03-05T09:00:00.0000000Z,2018-03-05T06:00:00.3070000Z,2018-03-05T08:59:53.2850000Z,11506.0,11595.0,11414.89,11432.97,2810.89577422,11003
2018-03-05T09:00:00.0000000Z,2018-03-05T12:00:00.0000000Z,2018-03-05T09:00:03.9120000Z,2018-03-05T11:59:59.0000000Z,11443.3,11532.3,11406.41,11498.99,1892.484278803,8544
2018-03-05T12:00:00.0000000Z,2018-03-05T15:00:00.0000000Z,2018-03-05T12:00:00.0000000Z,2018-03-05T14:59:59.8830000Z,11499.95,11606.0,11436.0,11467.1,3654.596509247,12772
2018-03-05T15:00:00.0000000Z,2018-03-05T18:00:00.0000000Z,2018-03-05T15:00:01.0000000Z,2018-03-05T17:59:59.6010000Z,11479.7,11575.0,11452.3,11471.1,2478.142315639,10771
2018-03-05T18:00:00.0000000Z,2018-03-05T21:00:00.0000000Z,2018-03-05T18:00:03.3180000Z,2018-03-05T20:59:59.0000000Z,11478.32,11688.0,11471.1,11593.41,6806.700678465,22735
2018-03-05T21:00:00.0000000Z,2018-03-06T00:00:00.0000000Z,2018-03-05T21:00:00.2000000Z,2018-03-05T23:59:59.6200000Z,11570.0,11622.12,11339.0,11377.54,3675.385810258,17519
2018-03-06T00:00:00.0000000Z,2018-03-06T03:00:00.0000000Z,2018-03-06T00:00:00.0000000Z,2018-03-06T02:59:59.9390000Z,11417.39,11438.0,11187.1,11269.46,7138.084448344,28202
2018-03-06T03:00:00.0000000Z,2018-03-06T06:00:00.0000000Z,2018-03-06T03:00:02.2320000Z,2018-03-06T05:59:53.2480000Z,11269.46,11340.2,11141.7,11298.05,3572.886542444,15824
2018-03-06T06:00:00.0000000Z,2018-03-06T09:00:00.0000000Z,2018-03-06T06:00:04.8480000Z,2018-03-06T08:59:52.0000000Z,11298.06,11344.0,11220.98,11263.04,2409.370493798,9195
2018-03-06T09:00:00.0000000Z,2018-03-06T12:00:00.0000000Z,2018-03-06T09:00:00.0000000Z,2018-03-06T11:59:59.6290000Z,11254.77,11306.9,10834.7,10942.02,7899.034929951,23671
2018-03-06T12:00:00.0000000Z,2018-03-06T15:00:00.0000000Z,2018-03-06T12:00:00.0000000Z,2018-03-06T14:59:58.4060000Z,10928.28,11012.1,10800.0,10998.55,5414.864597847,17889
2018-03-06T15:00:00.0000000Z,2018-03-06T18:00:00.0000000Z,2018-03-06T15:00:03.0000000Z,2018-03-06T17:59:59.0500000Z,10991.63,11023.1,10719.5,10763.02,6155.227755036,20649
2018-03-06T18:00:00.0000000Z,2018-03-06T21:00:00.0000000Z,2018-03-06T18:00:00.0000000Z,2018-03-06T20:59:57.0640000Z,10768.97,10879.9,10550.1,10649.06,9946.24892682,30336
2018-03-06T21:00:00.0000000Z,2018-03-07T00:00:00.0000000Z,2018-03-06T21:00:00.0000000Z,2018-03-06T23:59:59.4560000Z,10650.74,10828.0,10574.99,10731.5,5580.570125608,21782
